key,file,line,kind
"OPENSSL_BIN","electron/resources/hooks/pi/bridge/feishu_stop_notify.sh","135","supplemental-literal"
"OPENSSL_BIN","packages/agent-bridge/hooks/feishu_stop_notify.sh","7","supplemental-literal"
"OPENSSL_BIN","packages/agent-bridge/hooks/feishu_stop_notify.sh","135","supplemental-literal"
"OPENSSL_BIN","plugins/toolkit/hooks/feishu_stop_notify.sh","7","supplemental-literal"
"OPENSSL_BIN","plugins/toolkit/hooks/feishu_stop_notify.sh","135","supplemental-literal"
"PATH","app-server/src/codex/client.ts","375","property"
"PATH","app-server/src/codex/client.ts","387","property"
"PATH","backend/src/evolution/providers/process-runner.ts","12","dynamic-allowlist"
"PATH","backend/src/terminal/runtime/pty-service.ts","130","property"
"PATH","backend/src/terminal/runtime/pty-service.ts","131","property"
"PATH","backend/src/terminal/tmux/internals.ts","94","property"
"PATH","backend/src/terminal/tmux/process.ts","194","property"
"PATH","backend/src/voice/codex-app-server-client.ts","324","property"
"PATH","backend/src/voice/codex-app-server-client.ts","338","property"
"PATH","backend/src/voice/codex-app-server-client.ts","350","property"
"PATH","electron/src/companion/agent.ts","48","dynamic-allowlist"
"PATH","packages/suiji-server/src/reviews/codex.ts","85","dynamic-allowlist"
"PATH","scripts/verify/agent-team/model-config.mjs","137","property"
"PI_CODING_AGENT_DIR","electron/src/hooks/hook-installer.ts","99","property"
"PI_CODING_AGENT_DIR","electron/src/hooks/hook-installer.ts","490","property"
"PI_CODING_AGENT_DIR","scripts/agents/install-pi.mjs","11","property"
"PI_CODING_AGENT_DIR","scripts/toolkit/sync.mjs","85","property"
"PLAYWRIGHT_BACKEND_PORT","frontend/playwright.config.ts","8","property"
"PLAYWRIGHT_CHANNEL","frontend/playwright.config.ts","41","property"
"PLAYWRIGHT_FRONTEND_PORT","frontend/playwright.config.ts","9","property"
"PLAYWRIGHT_MCP_CDP_ENDPOINT","backend/src/index.ts","163","property"
"PLAYWRIGHT_MCP_CDP_ENDPOINT","backend/src/terminal/tmux/process.ts","202","property"
"PLAYWRIGHT_MCP_CDP_ENDPOINT","electron/src/main.ts","374","property"
"PLAYWRIGHT_PROFILE_DIR","frontend/playwright.config.ts","13","property"
"PLAYWRIGHT_PROFILE_DIR","frontend/playwright.config.ts","16","property"
"PORT","backend/src/server/runtime-config.ts","49","property"
"PORT_STRICT","backend/src/server/runtime-config.ts","52","property"
"POSTGRES_DB","deploy/suiji/init-db.sh","6","supplemental-literal"
